ID_encrypt,_Birth_Date_,Gender,_Country_of_Citizenship_,_Country_of_Birth_,_Preferred_Zip_Postal_Code_,_Local_Zip_Postal_Code_,_Group_1__Name_,_Group_1__Number_,_Education_1__Degree_Major_,_Offering_Enrollment_Date_,_Group_Payor_,_New_or_Returning_,Session,_Completion_Date_,Quarter_2,Quarter
0x0139F021DBF15129A639146A66564E75D7886F3760C0B0F9DEFCF9CB836FF976CC9DD33A88922B98268C15845BA83A6CC8C53CEE39E35D625CBE99B01BB4BD49AD,11 Apr 1980,F,Saudi Arabia,NULL,104865,90025,Saudi Arabian Cultural Mission,G001009,NULL,29 Sep 2016,Saudi Arabian Cultural Mission G001009,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0168378811ACA1289E492FA5F67C87D9D1D309C9DDC41C337B1930D7C80FBC62DDAF7362B780457EDF0AE85592CD4794035FBAE7C24EAE86522C1F7F3458FB8021,12 Jun 1997,M,Kuwait,NULL,NULL,NULL,Consulate General of the State of Kuwait,G001147,NULL,01 Sep 2016,Consulate General of the State of Kuwait G001147,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0105B311AE8AADCD27171EF2D542DEB5698B86182C842FC2E8B7329D23E14FC2DBA0901B58C497B3AA102356C98A02DB1A9CE6CACCC2271FAFD20BCA51181C4B63,15 Aug 1992,F,China (Peoples Republic),China (Peoples Republic),90024,90024,NULL,NULL,Bachelor of Management/ Financial Management,04 Oct 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x010B5E41FF6EC16A817FD570BE449CB9798FDA863155C74EC26A249D62EDA4FF701A7E8D459160B98AF7BE6CB6026E4F4AEA37AD83B0BECE54D0D956FBDED6C105,16 Sep 1994,M,China (Peoples Republic),China (Peoples Republic),90035,90035,NULL,NULL,BS in Mathematics & Applied Mathematics,24 Aug 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x017A32FC204988E3E922B846C554F529AF584D5340BDED97B28C91F985E55FD06DC550A9FBB1586F0BE4706A035F52C358FA50B2C2D6FD9DAB946EC5BCD097A1A2,25 Jan 1992,F,Taiwan,NULL,91403,NULL,NULL,NULL,NULL,29 Aug 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x016A355A5F4A4E88B668067CB68122A29DB339AD77A2DFB616DD884AA816ED887643AA252AD0AA4A29A572E40998D7CFA5BBF157093EC2007A1515FC0A7CED259E,13 Sep 1993,F,France,France,69390,NULL,Vive Campus,G002240,bachelor,22 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01BF7E6BC9058984AEBFCA460952989294686C7307C438E3A2BB1EECD561553F6593FA518C2363C9BECACA6B4D14C340A2F04879DD847623F2FAD05E4A3DE4D343,24 Jul 1989,F,China (Peoples Republic),China (Peoples Republic),90024,NULL,NULL,NULL,NULL,12 Aug 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01787FBBF7860ECEC92FD8164082B4BACF9F3F533D508EB28C39F9796354BDCFB4CF2022BC0BF1DD1F92CBA1C039351DDEACFBBEFAD15A17B8B5A58B92950444DC,04 Aug 1998,F,United States,United States,90024,NULL,Consulate General of the State of Kuwait,G001147,NULL,23 Aug 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01A9DDAE0772754BA157D982143B06D45F43FD9A66ED4AC1CA2B5079248F5FDB6DA49B6B91FBFB1209353AC6E561964389CE758144DF5104B37C0F6F598DFF9C33,07 Feb 1989,F,Chile,Chile,2172972,NULL,Vive Campus,G002240,NULL,04 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01F18D7BA000C3F3A17662E9A685BE9EEC3743D0B4D113E6253C09F43CF2691FE8AEAE471178136E283BFCF879F046754D50CB463B7CA51F86C0432334268AFE08,27 Aug 1997,F,China (Peoples Republic),China (Peoples Republic),750001,NULL,NULL,NULL,NULL,07 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
